#KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,SC,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,jmag,hmag,kmag,parallax,parallax_error
4544587,Kepler,-1,1,2.1890973,0.0000032,54954.135787,0.033573,0.4479,0.324,0.0862,0.0646,0.6515,0.49,285.8864,39.6834,70.2969,14.7737,10.801,8255,True,8435,234,-368,3.99,0.228,-0.123,0.07,0.15,-0.55,2.416,0.506,-0.759,2.078,0.332,-0.498,10.577,10.523,10.482,1.3447194344545237,0.04104972169715907
11175495,Kepler,-1,1,2.190958,0.0000032,54954.037034,0.046601,-0.0311,-1,0.0773,-1,1,0.66,282.5472,48.8564,78.3915,20.2782,12.969,8070,True,8300,200,-372,3.755,0.433,-0.076,-0.26,0.2,-0.35,3.093,0.493,-1.479,1.986,0.33,-0.495,12.379,12.174,12.146,0.6751137977126174,0.026115014599279677
6629588,Kepler,-1,1,2.2644714,0.0000034,54966.783102999994,0.042076999999999996,0.201,0.0343,0.0947,0.0887,0.4991,0.55,297.7556,42.0091,76.4864,7.7685,13.983,6520,True,6782,214,-262,4.014,0.312,-0.144,-0.54,0.3,-0.3,1.752,0.433,-0.595,1.155,0.189,-0.17,12.852,12.565,12.494,0.4678262945656671,0.021616338867874608
11099351,Kepler,6234,1,2.3779548999999998,0.0000036000000000000003,54956.044784000005,0.01642,0.0045,-1,0.0371,-1,1,0.29,298.2774,48.6408,82.5184,10.7142,11.639,9353,True,9565,302,-416,4.088,0.171,-0.209,0.07,0.15,-0.6,2.286,0.841,-0.688,2.335,0.366,-0.679,11.291,11.253,11.228,0.9167271307911379,0.03101444212857884
10191056,Kepler,5774,1,2.4274949,0.0000038,54955.03146900001,0.034813,0.182,0.1831,0.0803,0.0771,0.5013,0.53,283.8663,47.2283,77.0657,18.9113,10.811,6588,True,6791,189,-260,4.137,0.185,-0.185,-0.24,0.25,-0.3,1.619,0.492,-0.403,1.32,0.194,-0.216,9.955,9.706,9.671,1.631263114433502,0.02132495944549061
4851217,Kepler,-1,1,2.47028,0.0000038,54953.900507000006,0.046711,0.198,0.1815,0.0984,0.0957,0.4804,0.58,295.834,39.9523,73.9589,8.0268,11.108,6694,True,7823,70,-93,3.885,0.154,-0.077,0.07,0.15,-0.15,2.675,0.299,-0.555,2.002,0.185,-0.206,10.351,10.282,10.264,0.8371455051971931,0.03748721871947922
8878681,Kepler,-1,1,2.4963331,0.0000039,54955.218659000006,0.017658,0.023,0.0036,0.0381,0.0378,0.4923,0.34,289.2316,45.1643,76.511,14.6972,11.211,6504,True,6757,150,-217,3.842,0.273,-0.117,0.12,0.25,-0.3,2.615,0.483,-0.898,1.734,0.152,-0.354,10.337,10.209,10.157,2.143977883207012,0.023084139819023415
8113154,Kepler,1542,1,2.5868778999999997,0.0000041,54953.878234,0.048469,0.0308,-1,0.0893,-1,1,0.54,296.8776,43.9416,77.8708,9.2761,12.897,6589,True,6812,165,-235,4.343,0.084,-0.182,-0.54,0.25,-0.3,1.172,0.348,-0.149,1.103,0.157,-0.128,12,11.787,11.77,0.7899485212670606,0.025711920571683318
10686876,Kepler,-1,1,2.6184272999999996,0.0000042000000000000004,54953.949815,0.032408,0.2038,0.0341,0.0689,0.0683,0.4998,0.45,299.0567,47.9094,82.1309,9.9026,11.727,7944,True,8143,226,-311,3.96,0.259,-0.111,-0.2,0.2,-0.3,2.361,0.405,-0.751,1.854,0.112,-0.381,10.879,10.92,10.825,1.023472776403393,0.02247481347248963
10583181,Kepler,-1,1,2.6963227,0.0000044,54955.210895000004,0.034219,0.2535,0.0997,0.0701,0.0684,0.4997,0.47,283.7665,47.819,77.63,19.174,11.009,6231,True,6472,146,-178,4.08,0.293,-0.158,-0.4,0.3,-0.3,1.579,0.428,-0.475,1.093,0.177,-0.133,10.168,9.974,9.94,2.2461667548370956,0.023351911856958403
6606653,Kepler,1224,1,2.6980237999999996,0.0000044,54965.284590999996,0.066164,0.0218,0.0089,0.1047,0.0732,0.4981,0.59,291.9869,42.0377,74.4715,11.5652,13.717,6352,True,6568,161,-201,4.36,0.065,-0.208,-0.06,0.25,-0.3,1.211,0.391,-0.14,1.229,0.174,-0.174,12.772,12.559,12.518,0.3316702420467687,0.0196389197426171
8801343,Kepler,1247,1,2.7398738999999996,0.0000045,54953.850472000006,0.031415,0.025,0.0041,0.0604,0.0418,0.5002,0.46,283.4699,45.0525,74.809,18.4229,11.743,6291,True,6520,162,-179,3.844,0.3,-0.1,-0.32,0.3,-0.25,2.26,0.424,-0.727,1.3,0.22,-0.22,10.803,10.574,10.541,1.5236251058808168,0.023468435986347083
10547685,Kepler,-1,1,2.7770216,0.0000046,54956.454223,0.018225,0.0362,0.0346,0.0368,0.0366,0.5,0.33,296.5724,47.7527,81.1693,11.2854,12.309,6165,True,6075,78,-85,4.315,0.132,-0.108,-0.28,0.15,-0.15,1.13,0.174,-0.157,0.962,0.065,-0.054,11.079,10.789,10.618,2.2461368920733182,0.023450455864800136
3440230,Kepler,-1,1,2.8811009999999997,0.0000049000000000000005,54967.238413,0.055492999999999994,0.6512,0.0825,0.1028,0.0945,0.5042,0.54,290.4713,38.5286,70.7394,11.0586,13.636,7869,True,8104,223,-334,3.675,0.493,-0.087,-0.34,0.2,-0.3,3.369,0.576,-1.727,1.957,0.223,-0.483,12.803,12.486,12.45,0.40871509362440006,0.014729419895414316
7684873,Kepler,14,1,2.9473627000000002,0.000005,54954.426357000004,0.01409,0.0004,-1,0.0253,-1,1,0.2,292.6119,43.3051,75.8395,11.7152,10.47,7906,True,8090,226,-340,4.002,0.198,-0.132,-0.14,0.25,-0.3,2.234,0.476,-0.581,1.828,0.144,-0.312,9.942,9.872,9.837,1.8379362468583382,0.07884425577491656
9278021,Kepler,-1,1,3.3594714999999997,0.000006,54956.873159,0.01435,0.0024,0.0016,0.0255,0.03,0.5108,0.19,290.6501,45.7824,77.5146,14.0443,12.983,6331,True,6587,176,-215,3.531,0.36,-0.112,-0.62,0.4,-0.3,3.514,0.615,-1.435,1.53,0.212,-0.394,12.001,11.771,11.715,1.1746962566789008,0.01707302024925046
4761060,Kepler,2249,1,3.3613913,0.000006,55002.021782,-1,0.0005,-1,0.2213,-1,1,-1,295.5471,39.8618,73.7718,8.1761,12.301,6512,True,6739,183,-203,3.712,0.336,-0.084,-0.56,0.35,-0.3,2.702,0.434,-1.014,1.371,0.232,-0.284,11.389,11.19,11.139,1.1274637679650563,0.02598462493083648
11240948,Kepler,-1,1,3.4019372000000003,0.0000061,55001.252153999994,-1,-0.0008,-1,0.128,-1,1,-1,290.1068,48.9034,80.3068,15.6543,12.471,6822,True,7094,193,-236,3.905,0.277,-0.092,-0.48,0.3,-0.25,2.17,0.449,-0.673,1.379,0.193,-0.236,11.628,11.469,11.436,1.1373488120976445,0.023418293685716303
11515292,Kepler,-1,1,3.4194671000000003,0.0000062,54998.598539,0.9286129999999999,0.0183,0.0157,0.2716,0.2334,0.4963,0.94,295.572,49.4782,82.4179,12.6721,10.941,6835,True,7001,73,-83,3.932,0.182,-0.112,0.02,0.2,-0.15,2.308,0.411,-0.502,1.661,0.166,-0.166,10.181,10.051,10.01,1.185950332611801,0.03529476494363777
8196180,Kepler,-1,1,3.6716611000000006,0.0000068,54954.07515700001,0.027104000000000003,0.1279,0.0407,0.0409,0.0409,0.4035,0.31,300.6358,44.0534,79.3405,6.995,12.814,7114,True,7343,207,-311,4.02,0.273,-0.147,-0.42,0.25,-0.3,1.94,0.52,-0.635,1.436,0.21,-0.257,11.871,11.641,11.598,1.9689824705411627,0.43550000558214014
9753154,Kepler,2457,1,3.7042675000000003,0.000006900000000000001,54998.553701,0.017831,0.0001,-1,0.0331,-1,1,0.39,282.3012,46.5162,75.9769,19.6831,12.402,6514,True,6732,163,-204,3.958,0.273,-0.117,-0.42,0.3,-0.25,1.927,0.402,-0.603,1.23,0.189,-0.189,11.503,11.351,11.269,0.9009067073715101,0.022274515680067483
11913071,Kepler,-1,1,3.7478351,0.000007000000000000001,54955.94349600001,0.033275,0.189,0.0467,0.0504,0.0507,0.4986,0.37,291.0614,50.2554,81.8508,15.6304,9.532,8329,True,8529,236,-371,3.769,0.42,-0.14,-0.18,0.35,-0.4,3.065,0.92,-1.38,2.017,0.378,-0.462,8.834,8.732,8.683,3.267197857840467,0.039517779299670874
3861595,Kepler,4,1,3.8493669,0.0000072999999999999996,54959.728108,0.020419999999999997,0.0014,-1,0.0289,-1,1,0.2,294.3566,38.9474,72.5166,8.5502,11.432,6054,True,6244,126,-114,3.657,0.27,-0.09,-0.16,0.2,-0.15,2.992,0.416,-0.971,1.482,0.131,-0.261,10.475,10.266,10.195,1.2405867688437675,0.027250660672931366
5285607,Kepler,-1,1,3.8994011,0.000007400000000000001,54959.576010000004,0.02738,0.0408,0.0403,0.0397,0.035,0.4994,0.36,294.7722,40.4596,74.0184,8.9815,11.419,6235,True,6469,145,-193,4.385,0.056,-0.238,0.07,0.25,-0.3,1.193,0.431,-0.144,1.26,0.184,-0.184,10.517,10.305,10.268,1.2503816665524088,0.021621172906860567
8504570,Kepler,-1,1,4.0077046,0.0000078,54955.777160000005,0.034006,0.1656,0.0519,0.0476,0.0527,0.499,0.35,295.2369,44.5077,77.8086,10.5796,13.251,6874,True,7162,200,-300,4.185,0.105,-0.21,-0.02,0.2,-0.35,1.631,0.546,-0.294,1.484,0.218,-0.218,12.375,12.208,12.172,0.6434698429288934,0.018232164102235982
9835416,Kepler,-1,1,4.0366052,0.0000078,54957.446497000004,-1,0.0032,0.0015,0.1644,0.4425,0.3819,-1,293.6965,46.6205,79.2253,12.5031,13.338,6994,True,7241,228,-304,4.139,0.153,-0.187,-0.24,0.25,-0.35,1.681,0.508,-0.37,1.42,0.219,-0.241,12.45,12.284,12.226,0.7547836036712656,0.013155680428772177
11231334,Kepler,258,1,4.1574813,0.0000082,54993.02032999999,0.040704000000000004,0.0008,-1,0.0583,-1,1,0.44,284.5418,48.9613,78.9518,19.0735,9.887,6278,True,6529,156,-176,3.657,0.312,-0.078,-0.06,0.3,-0.25,3.131,0.468,-1.171,1.623,0.206,-0.335,8.947,8.698,8.682,2.64817332222907,0.030584666682772176
8098300,Kepler,-1,1,4.3059177,0.000008599999999999999,54956.737583,0.033795,0.3396,0.2342,0.0434,0.0462,0.5034,0.36,292.0587,43.9252,76.228,12.3481,12.817,6275,True,6502,146,-178,4.44,0.052,-0.208,-0.4,0.25,-0.35,1.037,0.317,-0.106,1.077,0.136,-0.136,11.885,11.641,11.596,1.0274920471963884,0.02322912652682544
3127817,Kepler,-1,1,4.3271394,0.0000087,54955.11773400001,0.046655,0.0579,0.0512,0.0645,0.0583,0.5017,0.48,293.9997,38.2323,71.7458,8.4598,12.155,6504,True,6425,162,-194,4.04,0.306,-0.165,-0.22,0.25,-0.3,1.718,0.477,-0.583,1.179,0.188,-0.188,10.824,10.591,10.512,-0.050917269951435536,0.3063749646401923
12268220,Kepler,-1,1,4.4215781,0.000008900000000000001,54954.125749,0.053826,0.081,0.0301,0.0547,0.0524,0.5007,0.54,296.4907,50.9059,83.995,12.8049,11.425,7826,True,8026,251,-306,3.65,0.51,-0.09,-0.36,0.2,-0.3,3.461,0.607,-1.821,1.95,0.238,-0.51,10.756,10.615,10.554,0.717513562821803,0.02310332147543015
5795648,Kepler,6016,1,4.5533695,0.0000093,54954.773066999995,0.021005000000000003,0.023,-1,0.0248,-1,1,0.16,293.2944,41.0354,74.008,10.2404,11.471,6052,True,6306,157,-189,4.346,0.113,-0.137,-0.36,0.3,-0.3,1.109,0.244,-0.162,0.991,0.135,-0.11,10.509,10.279,10.218,2.3197395730037034,0.45260989509619676
6362386,Kepler,6146,1,4.5924016,0.0000094,54956.954223,0.035903,0.0944,0.0043,0.0442,0.0373,0.4985,0.32,291.2642,41.7488,73.9652,11.9217,12.93,6983,True,7201,228,-314,4.138,0.132,-0.198,-0.08,0.25,-0.35,1.724,0.546,-0.364,1.488,0.218,-0.239,12.118,11.945,11.878,0.9481400432441233,0.020664851395965383
4936180,Kepler,820,1,4.6409218,0.000009699999999999999,54964.943578,-1,0.006,-1,0.0114,-1,1,-1,295.1137,40.0712,73.7972,8.568,15.27,6287,True,6463,205,-205,4.5,0.087,-0.163,-1.66,0.3,-0.2,0.826,0.159,-0.086,0.786,0.062,-0.045,14.224,13.954,13.785,0.37522891896221794,0.02401054891306371
9071386,Kepler,23,1,4.693306099999999,0.000009699999999999999,54955.782029999995,0.042372,0.0151,-1,0.0509,-1,1,0.36,283.1663,45.4031,75.0787,18.7443,12.291,6324,True,6365,115,-140,4.22,0.099,-0.121,0.2,0.15,-0.2,1.47,0.267,-0.2,1.312,0.093,-0.113,11.336,11.151,11.068,1.221654357588129,0.022369601629031833
9635529,Kepler,-1,1,4.70391,0.000009800000000000001,54957.860296000006,0.03585,0.2265,0.194,0.0482,0.0445,0.5014,0.39,284.7045,46.3788,76.4348,18.079,12.23,6347,True,6550,148,-181,4.324,0.084,-0.196,-0.22,0.25,-0.3,1.225,0.383,-0.164,1.157,0.178,-0.146,11.299,11.091,11.048,1.2003630535947643,0.0299353763443347
7943535,Kepler,-1,1,4.719339,0.000009800000000000001,54957.075209,0.018836000000000002,0.0114,0.0063,0.0225,0.0235,0.5954,0.15,284.5627,43.7743,73.8453,17.2391,12.672,6516,True,6792,182,-223,3.971,0.252,-0.126,-0.2,0.25,-0.3,2.058,0.418,-0.626,1.444,0.183,-0.275,11.731,11.45,11.42,1.170858133701789,0.023451142493221524
5738698,Kepler,6134,1,4.8087739,0.0000101,54956.591698000004,0.043651999999999996,0.2993,0.3042,0.0524,0.047,0.5004,0.41,299.7198,40.904,76.2777,5.9396,11.941,6210,True,6466,145,-178,4.278,0.165,-0.182,-0.48,0.3,-0.3,1.21,0.341,-0.227,1.011,0.146,-0.106,11.002,10.768,10.747,1.0335036529073571,0.05435402943938745
10156064,Kepler,-1,1,4.8559364,0.000010199999999999999,54954.458136,0.033241,0.1264,0.055,0.0409,0.0435,0.5007,0.32,296.9934,47.1467,80.7636,10.7471,10.367,7424,True,7652,214,-322,4.104,0.135,-0.165,0.04,0.2,-0.35,1.921,0.54,-0.36,1.707,0.194,-0.267,9.942,9.88,9.855,1.4877448549041596,0.02646079232743115
9970937,Kepler,-1,1,4.8770612,0.000010300000000000001,54999.02146799999,0.330019,0.0039,0.0028,0.2115,0.1971,0.4895,0.88,298.854,46.8269,81.109,9.4832,9.797,8308,True,8527,233,-401,3.633,0.51,-0.09,0.07,0.25,-0.5,3.956,0.874,-2.039,2.449,0.329,-0.769,9.383,9.361,9.298,1.317147710107647,0.03495438332774786
7778437,Kepler,131,1,5.0142324,0.000010800000000000002,54966.173727,0.039605,0.0067,-1,0.0435,-1,1,0.32,299.0975,43.4976,78.2846,7.6626,13.797,6244,True,6490,155,-232,4.32,0.067,-0.202,0.16,0.2,-0.35,1.307,0.439,-0.188,1.304,0.169,-0.187,12.804,12.583,12.562,0.7717549199772387,0.015005103391676126
5530881,Kepler,-1,1,5.0825222000000005,0.000011,54965.960770000005,0.031832,0.2726,0.0501,0.0358,0.04,0.4982,0.27,290.9227,40.7774,72.9576,11.7291,13.508,6138,True,6507,146,-194,4.343,0.101,-0.188,-0.38,0.25,-0.3,1.145,0.33,-0.152,1.049,0.16,-0.117,12.468,12.186,12.171,0.910116943330284,0.014389508293320018
6889235,Kepler,74,1,5.18867,0.0000113,54956.285878999995,0.045776,0.0016,0.0008,0.0461,0.0526,0.4998,0.43,298.3242,42.3885,77.0302,7.5927,10.96,9288,True,9523,302,-416,4.205,0.136,-0.221,0.07,0.15,-0.65,1.941,0.795,-0.428,2.202,0.45,-0.55,10.679,10.722,10.699,1.3983142636433876,0.033184089610923534
4069213,Kepler,-1,1,5.1942561,0.0000113,54957.183260000005,0.055401,0.0439,0.0048,0.0589,0.0576,0.4869,0.42,294.5957,39.1938,72.8248,8.5029,12.739,6058,True,6100,91,-73,3.895,0.196,-0.084,-0.06,0.15,-0.15,2.086,0.283,-0.526,1.244,0.16,-0.16,11.526,11.263,11.255,0.948195317163351,0.02648713700420946
7289157,Kepler,399,2,5.2658073,0.000011599999999999999,54969.976049000004,0.04413,0.0304,-1,0.0447,-1,1,0.37,293.9661,42.8373,75.8694,10.6213,12.947,6013,True,5916,107,-119,4.296,0.132,-0.108,-0.06,0.15,-0.15,1.175,0.178,-0.178,0.995,0.081,-0.066,11.893,11.626,11.518,1.3179028017557661,0.021087791536844286
8953059,Kepler,6062,1,5.4999401,0.0000124,54969.868726,0.040319,0.0441,-1,0.0402,-1,1,0.3,291.8422,45.2393,77.3729,13.0574,15.48,6217,True,6435,153,-211,4.385,0.065,-0.208,-0.06,0.25,-0.3,1.157,0.37,-0.148,1.186,0.169,-0.152,14.453,14.13,14.111,0.3875320582185354,0.027019116201323752
8264510,Kepler,-1,1,5.686759400000001,0.0000129,55003.229908,-1,-0.0042,-1,0.1281,-1,1,-1,300.9686,44.192,79.5853,6.8636,10.609,7478,True,7689,237,-316,3.947,0.273,-0.136,-0.2,0.2,-0.35,2.316,0.499,-0.748,1.73,0.184,-0.341,9.678,9.674,9.688,-3.1407983261289165,1.143670563066365
6449358,Kepler,6147,1,5.7767904,0.0000131,54955.073410000005,0.043601,0.1305,0.012,0.042,0.0521,0.4985,0.31,293.8964,41.8318,74.9375,10.2048,11.61,7449,True,7666,212,-334,3.658,0.432,-0.108,0.24,0.1,-0.4,3.601,0.725,-1.571,2.153,0.276,-0.512,10.949,10.842,10.788,1.1973965011976535,0.026362765958145958
8488876,Kepler,-1,1,5.801881099999999,0.0000132,54958.377657000005,0.027906999999999998,0.0329,0.0009,0.0269,0.0248,0.5872,0.18,289.4052,44.5155,75.9505,14.3208,12.368,6957,True,7259,201,-302,3.739,0.392,-0.098,0.02,0.2,-0.35,3.009,0.442,-1.238,1.808,0.196,-0.364,11.552,11.378,11.357,1.1030321860012144,0.018511905785503303
11826400,Kepler,6091,1,5.8893723,0.000013500000000000001,54956.000227,0.036754,0.0615,0.002,0.0344,0.0423,0.4995,0.25,297.5134,50.0748,83.5557,11.8407,12.472,6947,True,7249,201,-302,3.993,0.266,-0.143,-0.22,0.25,-0.35,2.071,0.531,-0.708,1.537,0.206,-0.308,11.66,11.481,11.455,1.344683380302861,0.021558566502522383
3439031,Kepler,4980,1,5.9520263,0.000013699999999999998,54954.068169000006,0.0383,0.4053,0.4156,0.0372,0.0352,0.5001,0.33,290.1327,38.5137,70.6078,11.2904,11.287,6337,True,6572,147,-180,4.408,0.063,-0.147,-0.42,0.25,-0.35,1.08,0.235,-0.127,1.088,0.125,-0.137,10.34,10.117,10.117,2.0543353890833553,0.024792747402726342
5384802,Kepler,646,1,6.0830927,0.000014400000000000001,54966.988767999996,0.021647,0.0197,0.0196,0.0193,0.0182,0.4997,0.17,297.449,40.5109,75.0592,7.2249,13.705,6203,True,6431,102,-141,4.293,0.076,-0.114,-0.02,0.15,-0.15,1.295,0.219,-0.152,1.199,0.096,-0.096,12.711,12.432,12.338,0.8212226464673983,0.015541609184780878
12071006,Kepler,-1,1,6.0960264,0.0000142,54955.83764,0.10831700000000001,0.8868,0.1034,0.0955,0.0954,0.4988,0.53,296.105,50.5185,83.527,12.8434,13.533,7338,True,7598,75,-83,3.867,0.163,-0.075,0.06,0.1,-0.15,2.692,0.26,-0.607,1.945,0.027,-0.228,12.653,12.425,12.288,0.24590515434003857,0.01481501599402661
9418619,Kepler,6068,1,6.1502471,0.000014400000000000001,54955.121930999994,0.011765000000000001,0.002,-1,0.0105,-1,1,0.07,297.1818,45.9884,79.7939,10.0773,10.622,8671,True,8914,246,-458,3.896,0.27,-0.18,0.07,0.25,-0.6,2.867,0.988,-1.087,2.357,0.353,-0.656,10.281,10.263,10.241,1.7299447591397106,0.024445276438256353
4073730,Kepler,3785,1,6.2820742,0.000014800000000000002,55005.477728,0.05038,0.0034,0.003,0.0405,0.0461,0.4855,0.33,295.6159,39.1967,73.2089,7.8096,11.059,6377,True,6635,167,-183,3.511,0.368,-0.092,-0.32,0.35,-0.25,3.798,0.39,-1.561,1.705,0.213,-0.396,10.166,9.98,9.938,1.3092405804263578,0.026021920899107032
5263802,Kepler,5145,1,6.7005059000000005,0.0000163,54958.146746000006,0.025699,0.0286,0.0286,0.0232,0.0216,0.4955,0.19,288.2709,40.4004,71.7324,13.3925,11.494,6642,True,6657,79,-79,4.181,0.132,-0.108,-0.24,0.15,-0.15,1.501,0.238,-0.238,1.255,0.089,-0.123,10.587,10.415,10.362,1.6518058899324433,0.02170779619863545
10295951,Kepler,1154,1,6.810824799999999,0.0000167,54955.424427,0.062354999999999994,0.0149,-1,0.0511,-1,1,0.36,299.1028,47.3778,81.6789,9.6108,12.628,6998,True,7226,228,-304,3.967,0.315,-0.135,-0.4,0.3,-0.3,2.079,0.507,-0.76,1.461,0.204,-0.306,11.768,11.61,11.548,0.5736610572214256,0.02350383396971488
5034333,Kepler,6124,1,6.93228,0.000017,54954.027612,0.054464,0.0043,-1,0.0639,-1,1,-1,297.4004,40.1495,74.7245,7.0777,11.52,8444,True,8675,238,-408,4.08,0.15,-0.15,0.07,0.15,-0.6,2.168,0.487,-0.541,2.057,0.37,-0.493,11.061,11.007,10.976,0.9836469694391329,0.03441631041585243
8242350,Kepler,5493,1,6.993555499999999,0.0000173,54958.005866,-1,0.0027,-1,0.1171,-1,1,-1,294.9346,44.1298,77.366,10.595,12.594,6334,True,6565,158,-198,3.803,0.293,-0.098,-0.2,0.3,-0.25,2.467,0.456,-0.847,1.414,0.228,-0.253,11.619,11.428,11.355,0.43353474808494696,0.2986744591292782
9913481,Kepler,-1,1,7.009485400000001,0.0000174,54955.804465,0.051577,0.0996,0.0696,0.0416,0.0459,0.4993,0.36,299.5866,46.7655,81.31,9.0185,10.862,7408,True,7624,212,-318,3.622,0.476,-0.084,-0.04,0.2,-0.3,3.682,0.609,-1.948,2.068,0.292,-0.542,10.127,10.074,10.027,1.0015747066429495,0.027267373924409945
3230227,Kepler,-1,1,7.047106200000001,0.0000175,54958.702238,-1,0.0658,-1,0.0148,-1,1,-1,290.1126,38.3999,70.4963,11.255,9.002,7972,True,8162,226,-340,3.973,0.234,-0.126,-0.2,0.25,-0.35,2.321,0.449,-0.674,1.845,0.12,-0.36,8.587,8.522,8.532,2.7164996721017602,0.050960189448646644
7972785,Kepler,184,1,7.3007334,0.0000187,54966.56591699999,0.047633999999999996,0.0143,-1,0.0351,-1,1,0.25,296.0477,43.7621,77.4197,9.7148,14.933,6134,True,6434,153,-230,4.394,0.07,-0.21,-0.1,0.25,-0.3,1.138,0.389,-0.13,1.169,0.169,-0.169,13.791,13.516,13.466,0.40336893353294645,0.024517923189789306
3335816,Kepler,-1,1,7.4220063,0.0000188,54954.35563099999,0.022997,0.021,0.0106,0.0189,0.019,0.4993,0.16,289.6983,38.4066,70.3589,11.5505,12.084,6079,True,6338,151,-189,4.256,0.175,-0.175,-0.34,0.3,-0.3,1.247,0.371,-0.247,1.021,0.173,-0.106,11.086,10.842,10.762,1.6119272372049995,0.026013704509306866
11403032,Kepler,-1,1,7.631634399999999,0.000019699999999999998,55001.91081,-1,-0.0013,-1,0.173,-1,1,-1,291.9279,49.297,81.1835,14.7265,11.5,6433,True,6657,149,-199,3.741,0.285,-0.095,-0.16,0.3,-0.25,2.869,0.449,-1.047,1.653,0.196,-0.364,10.562,10.373,10.331,1.16660691100942,0.06144655301131232
11071207,Kepler,-1,1,8.0496347,0.0000214,54971.653400999996,0.036677999999999995,0.2655,0.1343,0.0256,0.0375,0.6205,0.16,284.4178,48.6809,78.6434,19.0557,13.831,6427,True,6698,169,-220,4.171,0.185,-0.185,-0.38,0.25,-0.3,1.485,0.41,-0.336,1.197,0.175,-0.175,12.874,12.663,12.632,0.5549685088210008,0.017278049520803966
